1.52101, 13.64, 4.49, 1.1, 71.78, 0.06, 8.75
1.51761, 13.89, 3.6, 1.36, 72.73, 0.48, 7.83
1.51618, 13.53, 3.55, 1.54, 72.99, 0.39, 7.78
1.51766, 13.21, 3.69, 1.29, 72.61, 0.57, 8.22
1.51742, 13.27, 3.62, 1.24, 73.08, 0.55, 8.07
1.51596, 12.79, 3.61, 1.62, 72.97, 0.64, 8.07
1.51743, 13.3, 3.6, 1.14, 73.09, 0.58, 8.17
1.51574, 14.86, 3.67, 1.74, 71.87, 0.16, 7.36
1.51848, 13.64, 3.87, 1.27, 71.96, 0.54, 8.32
1.51593, 13.09, 3.59, 1.52, 73.1, 0.67, 7.83
1.51631, 13.34, 3.57, 1.57, 72.87, 0.61, 7.89
1.51596, 13.02, 3.56, 1.54, 73.11, 0.72, 7.9
1.5159, 13.02, 3.58, 1.51, 73.12, 0.69, 7.96
1.51645, 13.44, 3.61, 1.54, 72.39, 0.66, 8.03
1.51769, 13.65, 3.66, 1.11, 72.77, 0.11, 8.6
1.5161, 13.33, 3.53, 1.34, 72.67, 0.56, 8.33
1.5167, 13.24, 3.57, 1.38, 72.7, 0.56, 8.44
1.51514, 14.01, 2.68, 3.5, 69.89, 1.68, 5.87
1.51915, 12.73, 1.85, 1.86, 72.69, 0.6, 10.09
1.52171, 11.56, 1.88, 1.56, 72.86, 0.47, 11.41
1.51905, 14.0, 2.39, 1.56, 72.37, 0.0, 9.57
1.51937, 13.79, 2.41, 1.19, 72.76, 0.0, 9.77
1.51829, 14.46, 2.24, 1.62, 72.38, 0.0, 9.26
1.51131, 13.69, 3.2, 1.81, 72.81, 1.76, 5.43
1.51838, 14.32, 3.26, 2.22, 71.25, 1.46, 5.79
1.52315, 13.44, 3.34, 1.23, 72.38, 0.6, 8.83
